,message_text,clean_text,cluster,cluster2
0,"Как красиво! Макияж от Nikki Makeup 

Products used:

Base:
yslbeauty Nu Bare Look Tint applied with laprarie foundation brush
yslbeauty - All Hours Concealer 
lauramercier - Translucent Setting Powder
chanel.beauty Les Beiges Bronzing Cream in Deep Bronze applied with laprarie Large Powder Brush
rhode Pocket Blush in Freckle
nablacosmetics - Freckle Maker applied
armanibeauty - Luminous Silk Bronzer shade 100
westmanatelier Super Loaded Tinted Highlighter in Peau De Peony

Eyes:
armanibeauty Eye Tint in 44S
urbandecayuki - 24/7 Glide on pencil in Bourbon
delilahcosmetics - Gel Liner in Ebony (use code Nikki20)
urbandecaycosmetics Perversion Mascara 

Brows:
baebrow - Brow Wax
valentino.beauty Brow Trio in Brown

Lips:
anastasiabeverlyhills Cool Brown Lipliner 
yslbeauty Rouge Volupte Shine Lipstick- 121
anastasiabeverlyhills Chai Lipliner pradabeauty Soft Matte Lipstick - 0177",красиво макияж                                                    100               44  247             20                       121        0177,5,0
1,"Девочки! Отдельное спасибо хочу сказать, что доверяете мне с выбором косметологов ! Мне передают, что много «моих» из канала приходят! Спасибо большое! ☺️ Не зря я уже пятый год хожу к одним и тем же врачам))",девочка отдельный хотеть доверять выбор косметолог передавать «моих» канал приходить большой ☺️ зря ходить один врач,5,0
2,"5 часов сидения на жопке конечно того стоят! Раз в полгода и можно! 
Красил как обычно one & only [Никита Авдеев](https://www.instagram.com/nikita_avdeew?igsh=a2diODZnNTBtdDFv) 💓 Такая красивая растяжка получается и всегда разная)",5 час сидение жопка стоять полгода красить   никита авдеев2 красивый растяжка получаться разный,5,0
3,"Boy Brow Arch 🤎👁️

Карандаш с индивидуальным наконечником 2 в 1 для заполнения, придания формы и подчеркивания бровей. Кремовая текстура + эффектный цвет + стойкость в течение всего дня 
Устойчив к размазыванию и водостойкий.

Будет доступен ➡️ 6 августа на их сайте / 8 сентября в sephora",   🤎️ карандаш индивидуальный наконечник 2 1 заполнение придание форма подчёркивание бровь кремовый текстура эффектный цвет стойкость течение день устойчивый размазывание водостойкий доступный ➡️ 6 август сайт 8 сентябрь ,2,0
4,"Выложила свой стандартный макияж! Небольшой кусочек видосика! 

Отдельно рассказываю, как моя жизнь поменялась на до и после с ботоксом 🤣🤣

Мои любимые врачи: Лобач Инга / Матюхова Ксения, самые лучшие, смело идите к ним от меня, хайли рекоменд 

Клиника [Inside Beauty Clinic](https://www.instagram.com/inside_beauty_clinic?igsh=bHM5ZnVuOXZrZnRq) 💓",выложить свой стандартный макияж небольшой кусочек видосик отдельно рассказывать поменяться ботоксом 🤣🤣 любимый врач лобач инга матюхов ксения самый хороший смело идти они хайли рекоменд клиника   5 ,5,0
5,"Девы, я к вам с классной новостью — в Магнит Маркете распродажа косметики, нам всё нужно! Заходим в приложение Магнит, идём во вкладку Маркетплейс и вуаля! делаем выгодные покупки❤️
 
Делюсь с вами своими находками до 200 рублей: 
✨ [Консилер для лица](https://magnit.onelink.me/odWl/67af5tkd) 99 ₽  
✨ [База под макияж, трехцветная](https://magnit.onelink.me/odWl/sm7ksml7) 125 ₽  
✨ [Карандаш-помада для губ с точилкой](https://magnit.onelink.me/odWl/6a7m1o7k) 64 ₽   
✨ [Тушь для ресниц черная, с эффектом объема и удлинения](https://magnit.onelink.me/odWl/rzthe62f) 94,83 ₽  
✨ [Спонж-губка для макияжа](https://magnit.onelink.me/odWl/5c0zc21l) 49 ₽  
✨ [Смягчающий блеск для губ с глянцевым эффектом KIKO 149](https://magnit.onelink.me/odWl/h8tf2qya) ₽ 
 
На самом деле, там ещё много интересных товаров, поэтому берём промокод `ЗАБОТА40` и скупаем всё [здесь со скидкой 40%](https://magnit.onelink.me/odWl/76c8p6v6/?erid=LjN8JtfBM)",дева классный новость — магнит маркет распродажа косметика заходить приложение магнит идти вкладка маркетплейс вуаля делать выгодный покупки❤️ делиться свой находка 200 рубль ✨ консилера лица675 99 ₽ ✨ база макияж трехцветная77 125 ₽ ✨ карандашпомада губа точилкой6717 64 ₽ ✨ тушь ресница чёрный эффект объём удлинения62 9483 ₽ ✨ спонжгубка макияжа5021 49 ₽ ✨ смягчающий блеск губа глянцевый эффект  14982 ₽ дело интересный товар поэтому брать промокод забота40 скупать скидка 40768668,6,0
6,"Праздничная зимняя коллекция Gold Winter Blossom YSL

Включает в себя:
✨Помада Love Shine
С мерцающими розовыми жемчужинами
209P Luminous Raspberry Pink *новый оттенок 
44P Bright Lychee Pink *новый оттенок 
201 
✨ Палетка теней для век Couture Mini Clutch 
024 Golden Lace
✨ Парфюмированная вода Libre 
✨ Водостойкая подводка для глаз Liberated 
✨ Адвент-календарь 
✨ Наборы 

Будет доступно в октябре - ноябре",праздничный зимний коллекция     включать ✨помада   мерцать розовый жемчужина 209    новый оттенок 44    новый оттенок 201 ✨ палетка тень век    024   ✨ парфюмировать вода  ✨ водостойкий подводка глаз  ✨ адвенткалендарь ✨ набор доступно октябрь ноябрь,3,6
7,"Новая коллекция / коллаборация – осенняя капсула макияжа Guerlain X Pucci ограниченным выпуском. С принтом Marmo.

Включает в себя:
✨2 новые помады Rouge G
Сливовая с атласным финишем и красная с матовым, бархатистым финишем
✨Тени для век Ombres G Quad
045 Marmo Vibe — четыре новых матовых оттенка, включая оранжевый, фиолетовый, черный и белый.
✨Терракотовая пудра Marmo Sun Bronzing Powder
✨ Бестселлер Météorites, 02 Rosé
✨ Кисть",новый коллекция коллаборация – осенний капсула макияж    ограниченный выпуск принтом  включать ✨2 новый помада   сливовый атласный финиш красный матовый бархатистый финиш ✨тенить век    045   — новый матовый оттенок включая оранжевый фиолетовый чёрный белый ✨терракотовый пудра     ✨ бестселлер éé 02 é ✨ кисть,3,6
8,"Новый косметический бренд по уходу за волосами Blake Brown Beauty от Blake Lively 🧴🫧 

«Я потратила 7 лет на создание и личное тестирование каждого элемента этой коллекции. Концепция Blake Brown проста: любите свои волосы, и они будут любить вас.
Включает в себя:
✨Wild Nectar Santal Fundamental Nourishing Mask $19.99
✨Wild Nectar Santal Fundamental Nourishing Shampoo $18.99
✨Amber Vanille Dry Shampoo $19.99
✨Blackcurrant Vanille Glam Mousse $18.99
✨ Sandalwood Vanille Fundamental Strengthening Mask Hair Treatment $19.99
✨ Bergamot Woods All-In-Wonder Leave-In Potion Shampoo and Conditioner $18.99
✨Milky Sandalwood Rich Reset Pre-Shampoo Mask $24.99
✨ Sandalwood Vanille Fundamental Strengthening Shampoo $18.99",новый косметический бренд уход волос      🧴🫧 «я потратить 7 создание личный тестирование каждый элемент коллекция концепция   простой любить волос любить включать ✨      1999 ✨      1899 ✨    1999 ✨    1899 ✨        1999 ✨         1899 ✨      2499 ✨      1899,1,0
9,"Squeeze Me More Lip Balm Duo, новые ароматы блесков Elf Cosmetics 

Легкая, увлажняющая формула. Cлегка тонированный бальзам для губ, насыщенный питательными ингредиентами в 2 новых ароматах, набор $8
🍉Арбуз 
🥭Манго",      новый аромат блеск   лёгкий увлажнять формула лёгкий тонировать бальзам губа насыщенный питательный ингредиент 2 новый аромат набор 8 арбуз 🥭манго,6,6
